ip_location,reposts_count,comments_count,attitudes_count,source,content,NLP,ip_location_new
发布于 黑龙江,0,0,2,vivo S12,#日本政府已向儿童发核污水安全传单# 发传单多余了，只要政府要员们以身作则，一天三顿连着喝上一个月的核污水，不用宣传也有人信核污水很安全[白眼],1,
发布于 四川,0,0,0,iPhone客户端,#谁在炒作只有中国反对日本排放核污水# 日本人的基因里都是带着邪恶的基因，真他妈恶心🤢，[吐][吐][吐],0,
发布于 北京,0,0,0,iPhone客户端,#日本正采取卑劣手段对中国倒打一耙#再过几年就该说自己没排过核污水咯[吐],0,
发布于 日本,0,0,0,iPhone,#洋观速评# #日本政治# 政治家的嘴，骗人的鬼。高市早苗2年前还信誓旦旦地说，“我的话不会把ALPS放出（到海里）”。今天变成完全支持排放核污水入海，是不是要唾面自干了。 http://t.cn/A6Obdz0h,0,
发布于 北京,0,0,0,小米9 SE,[怒]//@包容万物恒河水:理论上，按照东电废堆计划，最终会取出来。但是你信吗？日本人敢讲讲三号机堆芯都沉到哪去了吗？[裂开]//@曾呀真高兴:我有个问题：堆芯的核燃料没取出来，意思是核污水的总量是无限♾️的是吗？[裂开][裂开][裂开] http://t.cn/A6OUEnvH,2,发布于 北京
发布于 广东,0,0,0,Redmi K50 至尊版,#东电承认超6成储存核污水放射物超标#日本地震海啸台风，我们不应该幸灾乐祸，再怎么说也是生命，请理性看待，天灾无情人有情，愿中国无灾，日本无人！,2,发布于 广东
发布于 吉林,0,0,0,Note 9,#日本核污水事件的科学真相#什么科学依据，多少人和组织背书都通不过一个最基本的逻辑——如果真的无害，日本为什么不留着自用，要顶着这么大的国内外舆论压力和道德谴责坚持排海？,0,发布于 吉林
发布于 北京,319,449,12460,微博轻享版,#民间艺术观察#,2,发布于 北京
发布于 广东,0,0,0,iPhone客户端,每天走在路上都是巨大的雷声和撕破天的闪电，核污水正在排放，这一场暴雨终会落在每个人的肩膀上。,0,发布于 广东
发布于 山东,0,0,1,iPhone客户端,#东京电力称核污水排海有问题将停止#谁还会信你的鬼话 当初不是说没有获得同意就不会排海吗？ 群众不是那么好忽悠的[怒],0,发布于 山东
